20.02.2004 15:00:00.000 GMT-0700,0.77084,1.25319,1.86118,0.68297,1.33432,1.25881,108.996
21.02.2004 15:00:00.000 GMT-0700,0.77084,1.25319,1.86118,0.68297,1.33432,1.25881,108.996
22.02.2004 15:00:00.000 GMT-0700,0.77112,1.25522,1.86767,0.68177,1.33678,1.25672,108.324
23.02.2004 15:00:00.000 GMT-0700,0.77921,1.26815,1.89106,0.69035,1.32919,1.24104,108.148
24.02.2004 15:00:00.000 GMT-0700,0.77136,1.24973,1.87001,0.68734,1.33329,1.2589,108.956
25.02.2004 15:00:00.000 GMT-0700,0.77079,1.24366,1.86169,0.68645,1.34059,1.26681,109.501
26.02.2004 15:00:00.000 GMT-0700,0.7732,1.24887,1.8681,0.68675,1.33333,1.26188,109.108
27.02.2004 15:00:00.000 GMT-0700,0.7732,1.24887,1.8681,0.68675,1.33333,1.26188,109.108
28.02.2004 15:00:00.000 GMT-0700,0.7732,1.24887,1.8681,0.68675,1.33333,1.26188,109.108
29.02.2004 15:00:00.000 GMT-0700,0.77215,1.24527,1.86909,0.6887,1.33741,1.26649,108.944
01.03.2004 15:00:00.000 GMT-0700,0.76291,1.22126,1.84041,0.67993,1.34207,1.29544,110.035
02.03.2004 15:00:00.000 GMT-0700,0.74892,1.21998,1.82959,0.66926,1.33938,1.29211,110.032
03.03.2004 15:00:00.000 GMT-0700,0.75074,1.22004,1.82329,0.66784,1.33219,1.29208,111.044
04.03.2004 15:00:00.000 GMT-0700,0.75891,1.23642,1.84579,0.67424,1.32117,1.27685,111.979
05.03.2004 15:00:00.000 GMT-0700,0.75891,1.23642,1.84579,0.67424,1.32117,1.27685,111.979
06.03.2004 15:00:00.000 GMT-0700,0.75891,1.23642,1.84579,0.67424,1.32117,1.27685,111.979
07.03.2004 15:00:00.000 GMT-0700,0.75912,1.24013,1.85046,0.67737,1.31937,1.27393,111.135
08.03.2004 15:00:00.000 GMT-0700,0.75806,1.2324,1.82665,0.67664,1.32292,1.28055,111.272
09.03.2004 15:00:00.000 GMT-0700,0.74469,1.22205,1.80206,0.65714,1.32455,1.28851,110.831
10.03.2004 15:00:00.000 GMT-0700,0.73679,1.23484,1.81109,0.64718,1.31899,1.26645,110.72
11.03.2004 15:00:00.000 GMT-0700,0.73288,1.22145,1.80326,0.64303,1.33347,1.2833,110.75
12.03.2004 15:00:00.000 GMT-0700,0.73288,1.22145,1.80326,0.64303,1.33347,1.2833,110.75
13.03.2004 15:00:00.000 GMT-0700,0.73288,1.22145,1.80326,0.64303,1.33347,1.2833,110.75
14.03.2004 15:00:00.000 GMT-0700,0.73576,1.226,1.80506,0.64549,1.33375,1.2755,110.296
15.03.2004 15:00:00.000 GMT-0700,0.74213,1.22693,1.81222,0.6502,1.33235,1.27751,108.7
16.03.2004 15:00:00.000 GMT-0700,0.74081,1.22316,1.81647,0.6508,1.33795,1.27687,108.248
17.03.2004 15:00:00.000 GMT-0700,0.75065,1.23833,1.83485,0.65923,1.32715,1.25713,106.802
18.03.2004 15:00:00.000 GMT-0700,0.74879,1.22829,1.83316,0.65561,1.33341,1.26924,106.664
19.03.2004 15:00:00.000 GMT-0700,0.74879,1.22829,1.83316,0.65561,1.33341,1.26924,106.664
20.03.2004 15:00:00.000 GMT-0700,0.74879,1.22829,1.83316,0.65561,1.33341,1.26924,106.664
21.03.2004 15:00:00.000 GMT-0700,0.75265,1.23273,1.84653,0.66066,1.33409,1.25783,106.878
22.03.2004 15:00:00.000 GMT-0700,0.75229,1.23325,1.84952,0.6601,1.33201,1.25735,106.722
23.03.2004 15:00:00.000 GMT-0700,0.7439,1.21297,1.82542,0.65106,1.34165,1.27645,106.2
24.03.2004 15:00:00.000 GMT-0700,0.73849,1.21235,1.80673,0.64587,1.3304,1.2802,106.14
25.03.2004 15:00:00.000 GMT-0700,0.74566,1.21272,1.81576,0.6511,1.31778,1.28396,105.982
26.03.2004 15:00:00.000 GMT-0700,0.74566,1.21272,1.81576,0.6511,1.31778,1.28396,105.982
27.03.2004 15:00:00.000 GMT-0700,0.74566,1.21272,1.81576,0.6511,1.31778,1.28396,105.982
28.03.2004 15:00:00.000 GMT-0700,0.746,1.21538,1.81897,0.6497,1.30915,1.28384,105.49
29.03.2004 15:00:00.000 GMT-0700,0.75252,1.21678,1.82711,0.65635,1.30595,1.28123,105.721
30.03.2004 15:00:00.000 GMT-0700,0.76628,1.23114,1.84598,0.66783,1.3088,1.2653,104.19
31.03.2004 15:00:00.000 GMT-0700,0.76635,1.23617,1.8569,0.66757,1.30664,1.26301,103.623
01.04.2004 15:00:00.000 GMT-0700,0.75708,1.21305,1.82857,0.65825,1.31395,1.28987,104.436
02.04.2004 15:00:00.000 GMT-0700,0.75708,1.21305,1.82857,0.65825,1.31395,1.28987,104.436
03.04.2004 15:00:00.000 GMT-0700,0.75708,1.21305,1.82857,0.65825,1.31395,1.28987,104.436
04.04.2004 15:00:00.000 GMT-0600,0.75338,1.20149,1.82072,0.65042,1.31329,1.30353,104.863
05.04.2004 15:00:00.000 GMT-0600,0.76285,1.21136,1.84315,0.65673,1.30809,1.28923,105.69
06.04.2004 15:00:00.000 GMT-0600,0.76578,1.21712,1.83972,0.65957,1.30775,1.27635,105.198
07.04.2004 15:00:00.000 GMT-0600,0.76231,1.20823,1.83388,0.65916,1.32638,1.28198,106.245
08.04.2004 15:00:00.000 GMT-0600,0.76225,1.20858,1.83327,0.65796,1.3275,1.28212,106.34
09.04.2004 15:00:00.000 GMT-0600,0.76225,1.20858,1.83327,0.65796,1.3275,1.28212,106.34
10.04.2004 15:00:00.000 GMT-0600,0.76225,1.20858,1.83327,0.65796,1.3275,1.28212,106.34
11.04.2004 15:00:00.000 GMT-0600,0.76581,1.2073,1.839,0.66221,1.33443,1.28193,105.334
12.04.2004 15:00:00.000 GMT-0600,0.75427,1.19424,1.8189,0.6524,1.33454,1.29913,106.514
13.04.2004 15:00:00.000 GMT-0600,0.73441,1.19594,1.7911,0.6345,1.34377,1.29749,108.589
14.04.2004 15:00:00.000 GMT-0600,0.74083,1.19816,1.79243,0.63822,1.34236,1.29477,108.241
15.04.2004 15:00:00.000 GMT-0600,0.7433,1.19886,1.79755,0.63835,1.34425,1.29466,107.747
16.04.2004 15:00:00.000 GMT-0600,0.7433,1.19886,1.79755,0.63835,1.34425,1.29466,107.747
17.04.2004 15:00:00.000 GMT-0600,0.7433,1.19886,1.79755,0.63835,1.34425,1.29466,107.747
18.04.2004 15:00:00.000 GMT-0600,0.74601,1.20204,1.80823,0.64381,1.34357,1.28862,108.385
19.04.2004 15:00:00.000 GMT-0600,0.73211,1.18647,1.78577,0.62823,1.3562,1.31117,108.722
20.04.2004 15:00:00.000 GMT-0600,0.72988,1.18377,1.77435,0.62035,1.3579,1.31279,109.341
21.04.2004 15:00:00.000 GMT-0600,0.73413,1.19002,1.77547,0.62803,1.35494,1.30811,109.351
22.04.2004 15:00:00.000 GMT-0600,0.73243,1.18415,1.77087,0.6284,1.36086,1.31445,108.922
23.04.2004 15:00:00.000 GMT-0600,0.73243,1.18415,1.77087,0.6284,1.36086,1.31445,108.922
24.04.2004 15:00:00.000 GMT-0600,0.73243,1.18415,1.77087,0.6284,1.36086,1.31445,108.922
25.04.2004 15:00:00.000 GMT-0600,0.73455,1.18644,1.78682,0.63033,1.34782,1.30682,108.571
26.04.2004 15:00:00.000 GMT-0600,0.7346,1.19223,1.79185,0.63047,1.3515,1.2983,109.382
27.04.2004 15:00:00.000 GMT-0600,0.72158,1.18393,1.77099,0.62147,1.37477,1.30646,110.086
28.04.2004 15:00:00.000 GMT-0600,0.72113,1.19598,1.77331,0.62238,1.36932,1.29242,109.849
29.04.2004 15:00:00.000 GMT-0600,0.72021,1.1977,1.77787,0.62528,1.37176,1.2954,110.465
30.04.2004 15:00:00.000 GMT-0600,0.71978,1.19827,1.77857,0.62553,1.37183,1.29575,110.508
01.05.2004 15:00:00.000 GMT-0600,0.71978,1.19827,1.77857,0.62553,1.37183,1.29575,110.508
02.05.2004 15:00:00.000 GMT-0600,0.72075,1.19404,1.77232,0.62488,1.37206,1.30021,110.315
03.05.2004 15:00:00.000 GMT-0600,0.72963,1.20962,1.79615,0.63237,1.36863,1.28101,109.305
04.05.2004 15:00:00.000 GMT-0600,0.73214,1.2171,1.79291,0.63563,1.37317,1.27383,108.652
05.05.2004 15:00:00.000 GMT-0600,0.7213,1.20795,1.79605,0.63047,1.3787,1.28335,109.732
06.05.2004 15:00:00.000 GMT-0600,0.70291,1.18782,1.78619,0.6177,1.38197,1.30182,112.191
07.05.2004 15:00:00.000 GMT-0600,0.70291,1.18782,1.78619,0.6177,1.38197,1.30182,112.191
08.05.2004 15:00:00.000 GMT-0600,0.70291,1.18782,1.78619,0.6177,1.38197,1.30182,112.191
09.05.2004 15:00:00.000 GMT-0600,0.69519,1.18448,1.77661,0.60687,1.39067,1.29826,113.617
10.05.2004 15:00:00.000 GMT-0600,0.69646,1.18678,1.75576,0.60513,1.38568,1.29595,113.132
11.05.2004 15:00:00.000 GMT-0600,0.69845,1.18962,1.77245,0.61271,1.38662,1.29431,112.955
12.05.2004 15:00:00.000 GMT-0600,0.68816,1.18197,1.76183,0.59928,1.39265,1.30151,114.469
13.05.2004 15:00:00.000 GMT-0600,0.69089,1.18825,1.7608,0.60383,1.38896,1.29559,114.211
14.05.2004 15:00:00.000 GMT-0600,0.69089,1.18825,1.7608,0.60383,1.38896,1.29559,114.211
15.05.2004 15:00:00.000 GMT-0600,0.69089,1.18825,1.7608,0.60383,1.38896,1.29559,114.211
16.05.2004 15:00:00.000 GMT-0600,0.68514,1.20241,1.76945,0.59685,1.39623,1.27528,114.31
17.05.2004 15:00:00.000 GMT-0600,0.68684,1.19493,1.76755,0.599,1.38999,1.28315,114.274
18.05.2004 15:00:00.000 GMT-0600,0.69511,1.20071,1.78275,0.60662,1.37492,1.27722,113.083
19.05.2004 15:00:00.000 GMT-0600,0.69616,1.19622,1.77686,0.60716,1.36659,1.28477,112.744
20.05.2004 15:00:00.000 GMT-0600,0.69723,1.19801,1.78705,0.60792,1.37311,1.28274,112.285
