06.01.2015 18:00:00.000 GMT-0700,0.8074,1.18771,1.51438,0.77599
06.01.2015 19:00:00.000 GMT-0700,0.80678,1.187,1.51388,0.77492
06.01.2015 20:00:00.000 GMT-0700,0.80741,1.18761,1.51441,0.77551
06.01.2015 21:00:00.000 GMT-0700,0.80729,1.18756,1.51385,0.7751
06.01.2015 22:00:00.000 GMT-0700,0.80707,1.18784,1.5138,0.77545
06.01.2015 23:00:00.000 GMT-0700,0.80633,1.18666,1.51312,0.77436
07.01.2015 00:00:00.000 GMT-0700,0.80711,1.18872,1.51398,0.77629
07.01.2015 01:00:00.000 GMT-0700,0.80678,1.18685,1.51272,0.77561
07.01.2015 02:00:00.000 GMT-0700,0.80611,1.18536,1.5119,0.77482
07.01.2015 03:00:00.000 GMT-0700,0.80691,1.18501,1.51388,0.77486
07.01.2015 04:00:00.000 GMT-0700,0.80692,1.18205,1.51202,0.77449
07.01.2015 05:00:00.000 GMT-0700,0.80728,1.18362,1.51274,0.77459
07.01.2015 06:00:00.000 GMT-0700,0.80545,1.183,1.51054,0.77303
07.01.2015 07:00:00.000 GMT-0700,0.80463,1.18191,1.50832,0.7731
07.01.2015 08:00:00.000 GMT-0700,0.80394,1.18024,1.50632,0.77206
07.01.2015 09:00:00.000 GMT-0700,0.80481,1.18205,1.50722,0.77249
07.01.2015 10:00:00.000 GMT-0700,0.80506,1.18293,1.50872,0.77531
07.01.2015 11:00:00.000 GMT-0700,0.8058,1.18348,1.5099,0.77689
07.01.2015 12:00:00.000 GMT-0700,0.80803,1.18502,1.51222,0.7784
07.01.2015 13:00:00.000 GMT-0700,0.80703,1.18331,1.5108,0.77787
07.01.2015 14:00:00.000 GMT-0700,0.80772,1.1839,1.51098,0.77792
07.01.2015 15:00:00.000 GMT-0700,0.80757,1.18335,1.5106,0.77761
07.01.2015 16:00:00.000 GMT-0700,0.80741,1.18337,1.51049,0.77688
07.01.2015 17:00:00.000 GMT-0700,0.80913,1.18381,1.51049,0.77724
07.01.2015 18:00:00.000 GMT-0700,0.80929,1.18258,1.50961,0.77672
07.01.2015 19:00:00.000 GMT-0700,0.80904,1.18218,1.50906,0.77759
07.01.2015 20:00:00.000 GMT-0700,0.81112,1.1827,1.50937,0.77961
07.01.2015 21:00:00.000 GMT-0700,0.81078,1.18225,1.50868,0.779
07.01.2015 22:00:00.000 GMT-0700,0.81128,1.18213,1.5087,0.77989
07.01.2015 23:00:00.000 GMT-0700,0.81048,1.18205,1.50883,0.77954
08.01.2015 00:00:00.000 GMT-0700,0.81046,1.18202,1.50722,0.77993
08.01.2015 01:00:00.000 GMT-0700,0.81117,1.17945,1.50363,0.78048
08.01.2015 02:00:00.000 GMT-0700,0.81103,1.17812,1.50536,0.78089
08.01.2015 03:00:00.000 GMT-0700,0.80997,1.17689,1.5056,0.77863
08.01.2015 04:00:00.000 GMT-0700,0.8109,1.17735,1.50601,0.77901
08.01.2015 05:00:00.000 GMT-0700,0.81091,1.1776,1.50687,0.77884
08.01.2015 06:00:00.000 GMT-0700,0.81078,1.17875,1.50763,0.77954
08.01.2015 07:00:00.000 GMT-0700,0.81155,1.17978,1.509,0.7805
08.01.2015 08:00:00.000 GMT-0700,0.81075,1.17921,1.50811,0.78023
08.01.2015 09:00:00.000 GMT-0700,0.81246,1.18097,1.51174,0.78241
08.01.2015 10:00:00.000 GMT-0700,0.81279,1.18169,1.51148,0.78244
08.01.2015 11:00:00.000 GMT-0700,0.81185,1.17996,1.51041,0.7819
08.01.2015 12:00:00.000 GMT-0700,0.81096,1.17841,1.50842,0.78122
08.01.2015 13:00:00.000 GMT-0700,0.8114,1.17884,1.50832,0.78137
08.01.2015 14:00:00.000 GMT-0700,0.81228,1.17919,1.50887,0.7822
08.01.2015 15:00:00.000 GMT-0700,0.81121,1.179,1.50797,0.7803
08.01.2015 16:00:00.000 GMT-0700,0.81123,1.1792,1.50851,0.78079
08.01.2015 17:00:00.000 GMT-0700,0.8128,1.17959,1.50945,0.7822
08.01.2015 18:00:00.000 GMT-0700,0.81298,1.18009,1.5091,0.78219
08.01.2015 19:00:00.000 GMT-0700,0.81413,1.18064,1.50932,0.7834
08.01.2015 20:00:00.000 GMT-0700,0.81389,1.18032,1.50927,0.78336
08.01.2015 21:00:00.000 GMT-0700,0.81373,1.18057,1.50919,0.78355
08.01.2015 22:00:00.000 GMT-0700,0.81396,1.18106,1.50971,0.78321
08.01.2015 23:00:00.000 GMT-0700,0.81301,1.17925,1.5091,0.78261
09.01.2015 00:00:00.000 GMT-0700,0.81221,1.17932,1.50955,0.78239
09.01.2015 01:00:00.000 GMT-0700,0.81198,1.18052,1.51159,0.78119
09.01.2015 02:00:00.000 GMT-0700,0.81202,1.18157,1.51312,0.78135
